Uploader_V2_PreviousWeek

Date/Time Generated,8/11/15 6:56 PM
Report Time Zone,Australia/Sydney
Account ID,6069
Date Range,8/2/15 - 8/8/15
Advertiser,Equals:Honda (3826313)

Report Fields
Date,Campaign,Campaign ID,Site (DCM),Placement,Ad Type,Creative,Creative Type,Click-through URL,Placement Strategy,Package/Roadblock,Package/Roadblock Strategy,Creative Pixel Size,Placement Pixel Size,Impressions,Clicks,Total Conversions,DBM Cost (Account Currency),Media Cost,Planned Media Cost,Brochures : Brochure - View Online: View-through Conversions,Brochures : Brochure - View Online: Click-through Conversions,Brochures : Brochure - View Online: Total Conversions,Brochures : Order Printed Brochure - Option 2: View-through Conversions,Brochures : Order Printed Brochure - Option 2: Click-through Conversions,Brochures : Order Printed Brochure - Option 2: Total Conversions,Test Drive : Find A Dealer: View-through Conversions,Test Drive : Find A Dealer: Click-through Conversions,Test Drive : Find A Dealer: Total Conversions,Test Drive : Request A Test Drive: View-through Conversions,Test Drive : Request A Test Drive: Click-through Conversions,Test Drive : Request A Test Drive: Total Conversions
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord - NCKW - Mobile - 680x75,(not set),(not set),(not set),(not set),Conversions,Accord - New Car Keywords,(not set),(not set),680 x 75,0,0,0,0.00,0.000000000,10.632363000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord - NCKW - Mobile - 680x75,Standard,HOD0966_Generic_Mobile_680x75,Image,http://m.honda.com.au/offers.html?utm_medium=advertising&utm_source=mediamotive&utm_campaign=get+the+low+down&utm_content=generic,Conversions,Accord - New Car Keywords,(not set),680x75,680 x 75,36,0,0,0.00,1.728000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord - NCKW - Mobile - 680x75,Standard,Mobile_HOD0948_680x75_40kb,Image,http://honda.com.au/tools/competition.html?utm_medium=advertising&utm_source=mediamotive&utm_campaign=pyd2015&utm_content=poweryourdreams2015,Conversions,Accord - New Car Keywords,(not set),680x75,680 x 75,28,0,0,0.00,1.344000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord - NCKW - Mobile - 728x90,(not set),(not set),(not set),(not set),Conversions,Accord - New Car Keywords,(not set),(not set),728 x 90,0,0,0,0.00,0.000000000,10.632363000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord - NCKW - Mobile - 728x90,Standard,HOD0966_Generic_Q2_728x90,Image,http://m.honda.com.au/range/cr-v/offers/crv-2wd-vti.html?utm_medium=advertising&utm_source=mediamotive&utm_campaign=get+the+low+down&utm_content=crv,Conversions,Accord - New Car Keywords,(not set),728x90,728 x 90,2,0,0,0.00,0.096000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord - NCKW - Mobile - 728x90,Standard,Mobile_HOD0948_728x90_40kb,Image,http://honda.com.au/tools/competition.html?utm_medium=advertising&utm_source=mediamotive&utm_campaign=pyd2015&utm_content=poweryourdreams2015,Conversions,Accord - New Car Keywords,(not set),728x90,728 x 90,6,0,0,0.00,0.288000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord EURO - NCKW - Desktop - 160x600,(not set),(not set),(not set),(not set),Conversions,Accord EURO - New Car Keywords,(not set),(not set),160 x 600,0,0,0,0.00,0.000000000,9.725991000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord EURO - NCKW - Desktop - 300x250,(not set),(not set),(not set),(not set),Conversions,Accord EURO - New Car Keywords,(not set),(not set),300 x 250,0,0,0,0.00,0.000000000,9.725991000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord EURO - NCKW - Desktop - 300x250,Default,HOD0966_Generic_Mobile_300x250,Image,http://www.honda.com.au/offers,Conversions,Accord EURO - New Car Keywords,(not set),300x250,300 x 250,1,0,0,0.00,0.048000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord EURO - NCKW - Desktop - 300x250,Standard,HOD0948_PYD_300x250,Flash in-page,http://honda.com.au/tools/competition.html?utm_medium=advertising&utm_source=mediamotive&utm_campaign=pyd2015&utm_content=poweryourdreams2015,Conversions,Accord EURO - New Car Keywords,(not set),300x250,300 x 250,61,0,0,0.00,2.928000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord EURO - NCKW - Desktop - 300x250,Standard,HOD0966_Generic_Q2_300x250,Flash in-page,http://honda.com.au/offers.html?utm_medium=advertising&utm_source=mediamotive&utm_campaign=get+the+low+down&utm_content=generic,Conversions,Accord EURO - New Car Keywords,(not set),300x250,300 x 250,63,0,0,0.00,3.024000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord EURO - NCKW - Desktop - 728x90,(not set),(not set),(not set),(not set),Conversions,Accord EURO - New Car Keywords,(not set),(not set),728 x 90,0,0,0,0.00,0.000000000,9.725991000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord EURO - NCKW - Desktop - 728x90,Default,HOD0966_Generic_Q2_728x90,Image,http://www.honda.com.au/offers,Conversions,Accord EURO - New Car Keywords,(not set),728x90,728 x 90,1,0,0,0.00,0.048000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord EURO - NCKW - Desktop - 728x90,Standard,HOD0948_PYD_728x90,Flash in-page,http://honda.com.au/tools/competition.html?utm_medium=advertising&utm_source=mediamotive&utm_campaign=pyd2015&utm_content=poweryourdreams2015,Conversions,Accord EURO - New Car Keywords,(not set),728x90,728 x 90,75,0,0,0.00,3.600000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord EURO - NCKW - Desktop - 728x90,Standard,HOD0966_Generic_Q2_728x90,Flash in-page,http://honda.com.au/offers.html?utm_medium=advertising&utm_source=mediamotive&utm_campaign=get+the+low+down&utm_content=generic,Conversions,Accord EURO - New Car Keywords,(not set),728x90,728 x 90,63,0,0,0.00,3.024000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord EURO - NCKW - Mobile - 300x250,(not set),(not set),(not set),(not set),Conversions,Accord EURO - New Car Keywords,(not set),(not set),300 x 250,0,0,0,0.00,0.000000000,9.725991000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord EURO - NCKW - Mobile - 300x250,Standard,HOD0966_Generic_Mobile_300x250,Image,http://m.honda.com.au/offers.html?utm_medium=advertising&utm_source=mediamotive&utm_campaign=get+the+low+down&utm_content=generic,Conversions,Accord EURO - New Car Keywords,(not set),300x250,300 x 250,27,0,0,0.00,1.296000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord EURO - NCKW - Mobile - 300x250,Standard,Mobile_HOD0948_300x250_40kb,Image,http://honda.com.au/tools/competition.html?utm_medium=advertising&utm_source=mediamotive&utm_campaign=pyd2015&utm_content=poweryourdreams2015,Conversions,Accord EURO - New Car Keywords,(not set),300x250,300 x 250,17,0,0,0.00,0.816000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord EURO - NCKW - Mobile - 300x50,(not set),(not set),(not set),(not set),Conversions,Accord EURO - New Car Keywords,(not set),(not set),300 x 50,0,0,0,0.00,0.000000000,9.725991000,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,Honda - Media Motive Keywords - Always On 2015,8424142,MediaMotive AU,Accord EURO - NCKW - Mobile - 300x50,Standard,HOD0966_Generic_Mobile_300x50,Image,http://m.honda.com.au/offers.html?utm_medium=advertising&utm_source=mediamotive&utm_campaign=get+the+low+down&utm_content=generic,Conversions,Accord EURO - New Car Keywords,(not set),300x50,300 x 50,619,0,0,0.00,29.712000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
